Account,Platform,Department,Language,URL,gc_orgID,wikidata_id
@INFC_eng,X,Infrastructure Canada,English,https://twitter.com/INFC_eng,,
Infrastructure Canada - English,Facebook,Infrastructure Canada,English,https://www.facebook.com/InfrastructureCanadaENG,,
infragram_can,Instagram,Infrastructure Canada,Bilingual,https://www.instagram.com/infragram_can,,
Infrastructure Canada,LinkedIn,Infrastructure Canada,Bilingual,https://ca.linkedin.com/company/infrastructure-canada,,
@INFC_fra,X,Infrastructure Canada,Français,https://twitter.com/INFC_fra?lang=fr,,
Infrastructure Canada - Français,Facebook,Infrastructure Canada,Français,https://www.facebook.com/InfrastructureCanadaFRA,,
@OpenGovCan,X,Treasury Board of Canada Secretariat,English,https://twitter.com/opengovcan,,
@GouvOuvertCan,X,Secrétariat du Conseil du Trésor du Canada,Français,https://twitter.com/gouvouvertcan,,
intergovernmental_affairs,Instagram,Privy Council Office,English,https://instagram.com/intergovernmental_affairs,,
affaires_intergouvernementales,Instagram,Bureau du Conseil privé,Français,https://instagram.com/affaires_intergouvernementales/,,
Transport Canada,Flickr,Transport Canada,English,http://flickr.com/photos/transportcanada,,
Transports Canada,Flickr,Transports Canada,Français,http://flickr.com/photos/transportscanada,,
Government of Canada Communications Community Office - Bureau de la collectivité des communications du gouvernement du Canada,X,Treasury Board Secretariat,Bilingual,https://twitter.com/CCOBCC/,,
@DM_JusticeCan,X,Department of Justice Canada,Bilingual,https://twitter.com/DM_JusticeCan,,
@CBSA_EMR,X,Canada Border Services Agency,English,https://twitter.com/CBSA_EMR,,
@CBSA_FFB,X,Canada Border Services Agency,English,https://twitter.com/CBSA_FFB,,
@ASFC_EMR,X,Agence des services frontaliers du Canada,Français,https://twitter.com/ASFC_EMR?lang=fr,,
@ASFC_FFB,X,Agence des services frontaliers du Canada,Français,https://twitter.com/ASFC_FFB?lang=fr,,
Leaders Today,Facebook,Employment and Social Development Canada,English,https://www.facebook.com/LeadersToday,,
Leaders Today,Instagram,Employment and Social Development Canada,English,https://www.instagram.com/leaderstoday/,,
Leaders d’aujourd’hui,Facebook,Emploi et Développement social Canada,Français,https://www.facebook.com/leadersdaujourdhui,,
leadersdaujourdhui,Instagram,Emploi et Développement social Canada,Français,https://www.instagram.com/leadersdaujourdhui/,,
@DigitalCDN,X,Treasury Board of Canada Secretariat,English,https://twitter.com/DigitalCDN,,
LivingDigital.VieNumerique,Instagram,Treasury Board of Canada Secretariat,Bilingual,https://www.instagram.com/livingdigital.vienumerique/,,
@CDNnumerique,X,Secrétariat du Conseil du Trésor du Canada,Français,https://twitter.com/CDNnumerique,,
Office of the Taxpayers' Ombudsperson,Facebook,Office of the Taxpayers' Ombudsperson,English,https://www.facebook.com/TaxpayersOmbudsman,,
Bureau de l'ombudsman des contribuables,Facebook,Bureau de l'ombudsman des contribuables,Français,https://www.facebook.com/OmbudsmanContribuables/,,
Canadian Democracy,Facebook,Privy Council Office,English,http://facebook.com/CdnDemocracy,,
La démocratie canadienne,Facebook,Bureau du Conseil Privé,Français,https://www.facebook.com/DemocratieCdn,,
@ACIA_Canada,X,Agence canadienne d'inspection des aliments,Français,https://twitter.com/ACIA_Canada,,
cafoperations,Instagram,National Defence and the Canadian Armed Forces,English,https://www.instagram.com/cafoperations/?hl=en,,
"Embassy of Canada to Kazakhstan, Kyrgyz Republic and Tajikistan",Facebook,Global Affairs Canada,English,https://facebook.com/CanadainKazakhstan/,,
Canada Expo,Facebook,Global Affairs Canada,English,https://www.facebook.com/Canadaexp0,,
Canada Down Under,Facebook,Global Affairs Canada,English,https://www.facebook.com/CanadaDownUnder/,,
@AmbCanNL,X,Affaires mondiales Canada,Français,https://twitter.com/AmbCanNL?lang=fr,,
"Ambassade du Canada au Kazakhstan, République kirghize et Tadjikistan",Facebook,Affaires mondiales Canada,Français,https://facebook.com/CanadaauKazakhstan/,,
Expo Canada,Facebook,Affaires mondiales Canada,Français,https://www.facebook.com/Exp0Canada,,
RCAF,X,National Defence and the Canadian Armed Forces,English,www.twitter.com/RCAF_ARC,,
Le Canada et le monde,Facebook,Affaires mondiales Canada,Français,https://facebook.com/LeCanadaEtLeMonde/,,
@GardeCotiereCAN,X,Pêches et Océans Canada,Français,https://twitter.com/GardeCotiereCAN,,
@CollegeGCC,X,Pêches et Océans Canada,Français,https://twitter.com/CollegeGCC,,
greenercanadians,Instagram,Natural Resources Canada,English,https://www.instagram.com/greenercanadians/,2234.0,Q349770
canadiensplusverts,Instagram,Resources naturelles Canada,Français,https://www.instagram.com/canadiensplusverts/,,
@capital_exp,X,Canadian Heritage,English,https://twitter.com/capital_exp,2223.0,Q1056951
Capital Experience,Facebook,Canadian Heritage,English,https://facebook.com/capitalexperience,2223.0,Q1056951
@VivezlaCapitale,X,Patrimoine canadien,Français,https://twitter.com/vivezlacapitale,,
Vivez la capitale,Facebook,Patrimoine canadien,Français,https://facebook.com/vivezlacapitale,,
Winterlude,Facebook,Canadian Heritage,English,https://facebook.com/winterlude,2223.0,Q1056951
Bal de neige,Facebook,Patrimoine canadien,Français,https://facebook.com/baldeneige,,
Inside ECCC | Ici à ECCC,LinkedIn,Environment and Climate Change Canada,Bilingual,https://www.linkedin.com/showcase/news-eccc-nouvelles-eccc,2237.0,Q348789
Inside ECCC / Ici à ECCC,LinkedIn,Environment and Climate Change Canada,Bilingual,https://www.linkedin.com/showcase/news-eccc-nouvelles-eccc/,2237.0,Q348789
Correctional Service of Canada,YouTube,Correctional Service of Canada,English,https://www.youtube.com/user/CSCsccEN,2255.0,Q3480093
ECCCWeather,X,Environment and Climate Change Canada,English,https://twitter.com/ecccweather,2237.0,Q348789
Environment and Climate Change Canada - Weather,Facebook,Environment and Climate Change Canada,English,https://facebook.com/EnvironmentCanadaWeather/,2237.0,Q348789
@ECCCWeatherAB,X,Environment and Climate Change Canada,English,https://twitter.com/ECCCWeatherAB,2237.0,Q348789
@ECCCWeatherBC,X,Environment and Climate Change Canada,English,https://twitter.com/ECCCWeatherBC,2237.0,Q348789
@ECCCWeatherMB,X,Environment and Climate Change Canada,English,https://twitter.com/ECCCWeatherMB,2237.0,Q348789
@ECCCWeatherNB,X,Environment and Climate Change Canada,English,https://twitter.com/ECCCWeatherNB,2237.0,Q348789
@ECCCWeatherNS,X,Environment and Climate Change Canada,English,https://twitter.com/ECCCWeatherNS,2237.0,Q348789
@ECCCWeatherNT,X,Environment and Climate Change Canada,English,https://twitter.com/ECCCWeatherNT,2237.0,Q348789
@ECCCWeatherNU,X,Environment and Climate Change Canada,English,https://twitter.com/ECCCWeatherNU,2237.0,Q348789
@ECCCWeatherON,X,Environment and Climate Change Canada,English,https://twitter.com/ECCCWeatherON,2237.0,Q348789
@ECCCWeatherPE,X,Environment and Climate Change Canada,English,https://twitter.com/ECCCWeatherPE,2237.0,Q348789
@ECCCWeatherQC,X,Environment and Climate Change Canada,English,https://twitter.com/ECCCWeatherQC,2237.0,Q348789
ECCC Weather Saskatchewan,X,Environment and Climate Change Canada,English,https://twitter.com/ECCCWeatherSK,2237.0,Q348789
@ECCCWeatherYT,X,Environment and Climate Change Canada,English,https://twitter.com/ECCCWeatherYT,2237.0,Q348789
Environment and Climate Change Canada - Weather,Facebook,Environment and Climate Change Canada,English,https://www.facebook.com/EnvironmentCanadaWeather/,2237.0,Q348789
Canadian Hurricane Centre,X,Environment and Climate Change Canada,English,https://twitter.com/ECCC_CHC,2237.0,Q348789
ECCCMeteo,X,Environnement et Changement climatique Canada,Français,https://twitter.com/ECCCMeteo,2237.0,Q348789
ECCC Centre canadien de prévision des ouragans,X,Environnement et Changement climatique Canada,Français,https://twitter.com/ECCC_CCPO,2237.0,Q348789
Environnement et Changement climatique Canada - Meteo,Facebook,Environnement et Changement climatique Canada,Français,https://facebook.com/EnvironnementCanadaMeteo/,2237.0,Q348789
@ECCCMeteoAB,X,Environnement et Changement climatique Canada,Français,https://twitter.com/ECCCMeteoAB,2237.0,Q348789
@ECCCMeteoBC,X,Environnement et Changement climatique Canada,Français,https://twitter.com/ECCCMeteoBC,2237.0,Q348789
@ECCCMeteoMB,X,Environnement et Changement climatique Canada,Français,https://twitter.com/ECCCMeteoMB,2237.0,Q348789
@ECCCMeteoNB,X,Environnement et Changement climatique Canada,Français,https://twitter.com/ECCCMeteoNB,2237.0,Q348789
@ECCCMeteoNL,X,Environnement et Changement climatique Canada,Français,https://twitter.com/ECCCMeteoNL,2237.0,Q348789
@ECCCMeteoNS,X,Environnement et Changement climatique Canada,Français,https://twitter.com/ECCCMeteoNS,2237.0,Q348789
@ECCCMeteoNT,X,Environnement et Changement climatique Canada,Français,https://twitter.com/ECCCMeteoNT,2237.0,Q348789
@ECCCMeteoNU,X,Environnement et Changement climatique Canada,Français,https://twitter.com/ECCCMeteoNU,2237.0,Q348789
ECCCMeteoON,X,Environnement et Changement climatique Canada,Français,https://twitter.com/ECCCMeteoON,2237.0,Q348789
ECCCMeteoPE,X,Environnement et Changement climatique Canada,Français,https://twitter.com/ECCCMeteoPE,2237.0,Q348789
ECCCMeteoQC,X,Environnement et Changement climatique Canada,Français,https://twitter.com/ECCCMeteoQC,2237.0,Q348789
@ECCCMeteoSK,X,Environnement et Changement climatique Canada,Français,https://twitter.com/ECCCMeteoSK,2237.0,Q348789
@ECCCMeteoYT,X,Environnement et Changement climatique Canada,Français,https://twitter.com/ECCCMeteoYT,2237.0,Q348789
@ECCC_CCPO,X,Environnement et Changement climatique Canada,Français,https://twitter.com/@ECCC_CCPO,2237.0,Q348789
Environment Canada,Flickr,Environment and Climate Change Canada,English,https://www.flickr.com/photos/environmentcan/,2237.0,Q348789
@ECCCWeatherNL,X,Environment and Climate Change Canada,English,https://twitter.com/ECCCWeatherNL,2237.0,Q348789
@ECCC_CHC,X,Environment and Climate Change Canada,Bilingual,https://twitter.com/@ECCC_CHC,2237.0,Q348789
@ECCC_CIS,X,Environment and Climate Change Canada,English,https://twitter.com/@ECCC_CIS,2237.0,Q348789
ECCC Jobs | Emplois ECCC,LinkedIn,Environment and Climate Change Canada,Bilingual,https://www.linkedin.com/showcase/eccc-jobs-emplois-eccc,2237.0,Q348789
ECCC Jobs / Emplois ECCC,LinkedIn,Environment and Climate Change Canada,Bilingual,https://www.linkedin.com/showcase/eccc-jobs-emplois-eccc/,2237.0,Q348789
Great Lakes Canada,X,Environment and Climate Change Canada,English,https://twitter.com/GreatLakes_GC,2237.0,Q348789
Sci & Tech @ ECCC,X,Environment and Climate Change Canada,Bilingual,https://twitter.com/ECCCSciTech,2237.0,Q348789
Environnement Canada,Flickr,Environnement et Changement climatique Canada,Français,https://flickr.com/photos/environnementcan/,2237.0,Q348789
ECCC Le Service canadien des glaces,X,Environnement et Changement Climatique Canada,Français,https://twitter.com/ECCC_SCG,2237.0,Q348789
Environnement et Changement climatique Canada - Météo,Facebook,Environnement et Changement climatique Canada,Français,https://www.facebook.com/ECCC-Météo-1814972211931588,2237.0,Q348789
Grands Lacs Canada,X,Environnement et changement climatique Canada,Français,https://twitter.com/GrandsLacs_GC,,
@DigiAcademyCAN,X,Canada School of Public Service,English,https://twitter.com/DigiAcademyCAN,2304.0,
@AcademieNumCAN,X,École de la fonction publique du Canada,Français,https://twitter.com/AcademieNumCAN,,
Canadian Heritage - Patrimoine canadien,Flickr,Canadian Heritage,Bilingual,https://www.flickr.com/photos/canadianheritage-patrimoinecanadien,2223.0,Q1056951
