Department Name,Count,Date
Global Affairs Canada,264,2024-10-24
Affaires mondiales Canada,248,2024-10-24
Parcs Canada,113,2024-10-24
Parks Canada,112,2024-10-24
National Defence and the Canadian Armed Forces,82,2024-10-24
Royal Canadian Mounted Police,67,2024-10-24
Gendarmerie royale du Canada,51,2024-10-24
Environment and Climate Change Canada,34,2024-10-24
Défense nationale et les Forces armées canadiennes,26,2024-10-24
Employment and Social Development Canada,25,2024-10-24
Environnement et Changement climatique Canada,24,2024-10-24
Public Services and Procurement Canada,19,2024-10-24
Privy Council Office,18,2024-10-24
Emploi et Développement social Canada,18,2024-10-24
Fisheries and Oceans Canada,17,2024-10-24
"Innovation, Science and Economic Development Canada",17,2024-10-24
"Innovation, Sciences et Développement économique Canada",16,2024-10-24
Canadian Heritage,16,2024-10-24
Services publics et Approvisionnement Canada,15,2024-10-24
Pêches et Océans Canada,13,2024-10-24
Bureau du Conseil privé,13,2024-10-24
Natural Resources Canada,12,2024-10-24
Canada Border Services Agency,11,2024-10-24
Canadian Human Rights Commission,10,2024-10-24
Agence des services frontaliers du Canada,10,2024-10-24
Patrimoine canadien,9,2024-10-24
Ressources naturelles Canada,9,2024-10-24
Treasury Board of Canada Secretariat,9,2024-10-24
Service Canada,8,2024-10-24
Canadian Institutes of Health Research,8,2024-10-24
Library and Archives Canada,8,2024-10-24
Infrastructure Canada,8,2024-10-24
"Immigration, Refugees and Citizenship Canada",8,2024-10-24
Social Sciences and Humanities Research Council,7,2024-10-24
Canadian Space Agency,7,2024-10-24
Relations Couronne-Autochtones et Affaires du Nord Canada et Services aux Autochtones Canada,7,2024-10-24
Bibliothèque et Archives Canada,6,2024-10-24
Commission canadienne des droits de la personne,6,2024-10-24
Veterans Affairs Canada,6,2024-10-24
Justice Canada,6,2024-10-24
Public Safety Canada,6,2024-10-24
Crown-Indigenous Relations and Northern Affairs Canada and Indigenous Services Canada,6,2024-10-24
Public Service Commission of Canada,6,2024-10-24
Transport Canada,6,2024-10-24
Women and Gender Equality Canada,6,2024-10-24
Statistics Canada,5,2024-10-24
Polar Knowledge Canada,5,2024-10-24
Canada Revenue Agency,5,2024-10-24
Agriculture and Agri-Food Canada,5,2024-10-24
Financial Consumer Agency of Canada,5,2024-10-24
Atlantic Canada Opportunities Agency,5,2024-10-24
Science and Engineering Research Canada,5,2024-10-24
The National Battlefields Commission,5,2024-10-24
Health Canada,5,2024-10-24
Canadian Food Inspection Agency,5,2024-10-24
Communications Security Establishment Canada,5,2024-10-24
Shared Services Canada,5,2024-10-24
Régie de l'énergie du Canada,5,2024-10-24
Agence spatiale canadienne,5,2024-10-24
Canada Mortgage and Housing Corporation,5,2024-10-24
Sécurité publique Canada,5,2024-10-24
"Immigration, Réfugiés et Citoyenneté Canada",5,2024-10-24
Government of Canada Workplace Charitable Campaign,5,2024-10-24
Transports Canada,5,2024-10-24
Anciens Combattants Canada,5,2024-10-24
Femmes et Égalité des genres Canada,5,2024-10-24
Commission de la fonction publique du Canada,5,2024-10-24
Canadian Centre for Occupational Health and Safety,5,2024-10-24
Transportation Safety Board of Canada,5,2024-10-24
Federal Economic Development Agency for Southern Ontario,5,2024-10-24
Canadian Radio­television and Telecommunications Commission,4,2024-10-24
Communications Security Establishment,4,2024-10-24
Services partagés Canada,4,2024-10-24
Canadian Security Intelligence Service,4,2024-10-24
Crown-Indigenous Relations and Northern Affairs Canada,4,2024-10-24
Canadian Grain Commission,4,2024-10-24
Competition Bureau of Canada,4,2024-10-24
Canada Energy Regulator,4,2024-10-24
Department of Finance Canada,4,2024-10-24
Office of the Veterans' Ombudsman,4,2024-10-24
Canada School of Public Service,4,2024-10-24
Canada Economic Development for Quebec Regions,4,2024-10-24
Office of the Taxpayers' Ombudsperson,4,2024-10-24
Santé Canada,4,2024-10-24
Statistique Canada,4,2024-10-24
Centre de la sécurité des télécommunications,4,2024-10-24
Agence canadienne d'inspection des aliments,4,2024-10-24
Commission des champs de bataille nationaux,4,2024-10-24
Normes d'accessibilité Canada,4,2024-10-24
Recherches en sciences et en génie Canada,4,2024-10-24
Centre canadien d'hygiène et de sécurité au travail,4,2024-10-24
Secrétariat du Conseil du Trésor du Canada,4,2024-10-24
Agence de la consommation en matière financière du Canada,4,2024-10-24
Bureau de la sécurité des transports du Canada,4,2024-10-24
Agence de promotion économique du Canada atlantique,4,2024-10-24
Agence du Revenu du Canada,4,2024-10-24
Bureau de la concurrence,4,2024-10-24
Accessibility Standards Canada,4,2024-10-24
