wikidata_id,match_probability,matched_name,matched_field,gc_orgID,harmonized_name,nom_harmonise,legal_title,appellation_legale,preferred_name,nom_prefere,lead_department,ministere_responsable,abbreviation,abreviation,FAA_LGFP,status_statut,end_date_fin
Q1046164,100,Agriculture and Agri-Food Canada,harmonized_name,2222.0,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,AAFC,AAC,1.0,a,
Q1056951,100,Department of Canadian Heritage,legal_title,2223.0,Canadian Heritage,Patrimoine canadien,Department of Canadian Heritage,Ministère du Patrimoine canadien,Canadian Heritage,Patrimoine canadien,Canadian Heritage,Patrimoine canadien,PCH,PCH,1.0,a,
Q1056074,100,"Immigration, Refugees and Citizenship Canada",harmonized_name,2224.0,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada",Department of Citizenship and Immigration,Ministère de la Citoyenneté et de l'Immigration,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada","Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada",IRCC,IRCC,1.0,a,
Q1191438,100,Department of Finance Canada,harmonized_name,2225.0,Department of Finance Canada,Ministère des Finances Canada,Department of Finance,Ministère des Finances,Department of Finance Canada,Ministère des Finances Canada,Department of Finance Canada,Ministère des Finances Canada,FIN,FIN,1.0,a,
Q349666,100,Department of Fisheries and Oceans,legal_title,2226.0,Fisheries and Oceans Canada,Pêches et Océans Canada,Department of Fisheries and Oceans,Ministère des Pêches et des Océans,Fisheries and Oceans Canada,Pêches et Océans Canada,Fisheries and Oceans Canada,Pêches et Océans Canada,DFO,MPO,1.0,a,
Q3315371,100,Global Affairs Canada,harmonized_name,2227.0,Global Affairs Canada,Affaires mondiales Canada,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement",Global Affairs Canada,Affaires mondiales Canada,Global Affairs Canada,Affaires mondiales Canada,GAC,AMC,1.0,a,
Q1057591,100,Health Canada,harmonized_name,2228.0,Health Canada,Santé Canada,Department of Health,Ministère de la Santé,Health Canada,Santé Canada,Health Canada,Santé Canada,HC,SC,1.0,a,
Q27929061,100,Employment and Social Development Canada,harmonized_name,2229.0,Employment and Social Development Canada,Emploi et Développement social Canada,Department of Employment and Social Development,Ministère de l'Emploi et du Développement social,Employment and Social Development Canada,Emploi et Développement social Canada,Employment and Social Development Canada,Emploi et Développement social Canada,ESDC,EDSC,1.0,a,
Q86685295,100,Crown-Indigenous Relations and Northern Affairs Canada,harmonized_name,2230.0,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada,Department of Crown-Indigenous Relations and Northern Affairs,Ministère des Relations Couronne-Autochtones et des Affaires du Nord,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada,CIRNAC,RCAANC,1.0,a,
Q1057600,100,"Innovation, Science and Economic Development Canada",harmonized_name,2231.0,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",Department of Industry,Ministère de l'Industrie,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada","Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",ISED,ISDE,1.0,a,
