date,Department,Ministère,unique_app_count,iOS_count,android_count,blackberry_count,amazon_count
2026-09-20,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,1,1,1,0,0
2026-09-20,Canada Border Services Agency,Agence des services frontaliers du Canada,2,2,2,1,1
2026-09-20,Canada School of Public Service,École de la fonction publique du Canada,1,1,1,0,0
2026-09-20,Employment and Social Development Canada,Emploi et Développement social Canada,1,1,1,0,0
2026-09-20,Environment and Climate Change Canada,Environnement et Changement climatique Canada,1,1,1,0,0
2026-09-20,Fisheries and Oceans Canada,Pêches et Océans Canada,1,1,1,0,0
2026-09-20,Health Canada,Santé Canada,1,1,1,0,1
2026-09-20,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés, et Citoyenneté Canada",1,1,1,1,0
2026-09-20,Indigenous Services Canada,Services aux Autochtones Canada,1,1,1,0,0
2026-09-20,"Innovation, Science, Economic Development Canada","Innovation, Sciences et Développement économique Canada",1,1,1,0,0
2026-09-20,National Defence and the Canadian Armed Forces,Défense nationale et les Forces armées canadiennes,7,7,7,0,0
2026-09-20,National Film Board of Canada,Office national du film du Canada,1,1,1,0,0
2026-09-20,Natural Resources Canada,Ressources Naturelles Canada,1,1,1,1,0
2026-09-20,Public Health Agency of Canada,Agence de la santé publique du Canada,1,1,1,0,0
2026-09-20,Statistics Canada,Statistique Canada,1,1,1,0,0
2026-09-20,Veterans Affairs Canada,Anciens Combattants Canada,2,2,2,1,0
2026-09-21,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,1,1,1,0,0
2026-09-21,Canada Border Services Agency,Agence des services frontaliers du Canada,2,2,2,1,1
2026-09-21,Canada School of Public Service,École de la fonction publique du Canada,1,1,1,0,0
2026-09-21,Employment and Social Development Canada,Emploi et Développement social Canada,1,1,1,0,0
2026-09-21,Environment and Climate Change Canada,Environnement et Changement climatique Canada,1,1,1,0,0
2026-09-21,Fisheries and Oceans Canada,Pêches et Océans Canada,1,1,1,0,0
2026-09-21,Health Canada,Santé Canada,1,1,1,0,1
2026-09-21,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés, et Citoyenneté Canada",1,1,1,1,0
2026-09-21,Indigenous Services Canada,Services aux Autochtones Canada,1,1,1,0,0
2026-09-21,"Innovation, Science, Economic Development Canada","Innovation, Sciences et Développement économique Canada",1,1,1,0,0
2026-09-21,National Defence and the Canadian Armed Forces,Défense nationale et les Forces armées canadiennes,7,7,7,0,0
2026-09-21,National Film Board of Canada,Office national du film du Canada,1,1,1,0,0
2026-09-21,Natural Resources Canada,Ressources Naturelles Canada,1,1,1,1,0
2026-09-21,Public Health Agency of Canada,Agence de la santé publique du Canada,1,1,1,0,0
2026-09-21,Statistics Canada,Statistique Canada,1,1,1,0,0
2026-09-21,Veterans Affairs Canada,Anciens Combattants Canada,2,2,2,1,0
2026-09-22,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,1,1,1,0,0
2026-09-22,Canada Border Services Agency,Agence des services frontaliers du Canada,2,2,2,1,1
2026-09-22,Canada School of Public Service,École de la fonction publique du Canada,1,1,1,0,0
2026-09-22,Employment and Social Development Canada,Emploi et Développement social Canada,1,1,1,0,0
2026-09-22,Environment and Climate Change Canada,Environnement et Changement climatique Canada,1,1,1,0,0
2026-09-22,Fisheries and Oceans Canada,Pêches et Océans Canada,1,1,1,0,0
2026-09-22,Health Canada,Santé Canada,1,1,1,0,1
2026-09-22,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés, et Citoyenneté Canada",1,1,1,1,0
2026-09-22,Indigenous Services Canada,Services aux Autochtones Canada,1,1,1,0,0
2026-09-22,"Innovation, Science, Economic Development Canada","Innovation, Sciences et Développement économique Canada",1,1,1,0,0
2026-09-22,National Defence and the Canadian Armed Forces,Défense nationale et les Forces armées canadiennes,7,7,7,0,0
2026-09-22,National Film Board of Canada,Office national du film du Canada,1,1,1,0,0
2026-09-22,Natural Resources Canada,Ressources Naturelles Canada,1,1,1,1,0
2026-09-22,Public Health Agency of Canada,Agence de la santé publique du Canada,1,1,1,0,0
2026-09-22,Statistics Canada,Statistique Canada,1,1,1,0,0
2026-09-22,Veterans Affairs Canada,Anciens Combattants Canada,2,2,2,1,0
2026-09-23,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,1,1,1,0,0
2026-09-23,Canada Border Services Agency,Agence des services frontaliers du Canada,2,2,2,1,1
2026-09-23,Canada School of Public Service,École de la fonction publique du Canada,1,1,1,0,0
2026-09-23,Employment and Social Development Canada,Emploi et Développement social Canada,1,1,1,0,0
2026-09-23,Environment and Climate Change Canada,Environnement et Changement climatique Canada,1,1,1,0,0
2026-09-23,Fisheries and Oceans Canada,Pêches et Océans Canada,1,1,1,0,0
2026-09-23,Health Canada,Santé Canada,1,1,1,0,1
2026-09-23,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés, et Citoyenneté Canada",1,1,1,1,0
2026-09-23,Indigenous Services Canada,Services aux Autochtones Canada,1,1,1,0,0
2026-09-23,"Innovation, Science, Economic Development Canada","Innovation, Sciences et Développement économique Canada",1,1,1,0,0
2026-09-23,National Defence and the Canadian Armed Forces,Défense nationale et les Forces armées canadiennes,7,7,7,0,0
2026-09-23,National Film Board of Canada,Office national du film du Canada,1,1,1,0,0
2026-09-23,Natural Resources Canada,Ressources Naturelles Canada,1,1,1,1,0
2026-09-23,Public Health Agency of Canada,Agence de la santé publique du Canada,1,1,1,0,0
2026-09-23,Statistics Canada,Statistique Canada,1,1,1,0,0
2026-09-23,Veterans Affairs Canada,Anciens Combattants Canada,2,2,2,1,0
2026-09-24,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,1,1,1,0,0
2026-09-24,Canada Border Services Agency,Agence des services frontaliers du Canada,2,2,2,1,1
2026-09-24,Canada School of Public Service,École de la fonction publique du Canada,1,1,1,0,0
2026-09-24,Employment and Social Development Canada,Emploi et Développement social Canada,1,1,1,0,0
2026-09-24,Environment and Climate Change Canada,Environnement et Changement climatique Canada,1,1,1,0,0
2026-09-24,Fisheries and Oceans Canada,Pêches et Océans Canada,1,1,1,0,0
2026-09-24,Health Canada,Santé Canada,1,1,1,0,1
2026-09-24,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés, et Citoyenneté Canada",1,1,1,1,0
2026-09-24,Indigenous Services Canada,Services aux Autochtones Canada,1,1,1,0,0
2026-09-24,"Innovation, Science, Economic Development Canada","Innovation, Sciences et Développement économique Canada",1,1,1,0,0
2026-09-24,National Defence and the Canadian Armed Forces,Défense nationale et les Forces armées canadiennes,7,7,7,0,0
2026-09-24,National Film Board of Canada,Office national du film du Canada,1,1,1,0,0
2026-09-24,Natural Resources Canada,Ressources Naturelles Canada,1,1,1,1,0
2026-09-24,Public Health Agency of Canada,Agence de la santé publique du Canada,1,1,1,0,0
2026-09-24,Statistics Canada,Statistique Canada,1,1,1,0,0
2026-09-24,Veterans Affairs Canada,Anciens Combattants Canada,2,2,2,1,0
2026-09-25,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,1,1,1,0,0
2026-09-25,Canada Border Services Agency,Agence des services frontaliers du Canada,2,2,2,1,1
2026-09-25,Canada School of Public Service,École de la fonction publique du Canada,1,1,1,0,0
2026-09-25,Employment and Social Development Canada,Emploi et Développement social Canada,1,1,1,0,0
2026-09-25,Environment and Climate Change Canada,Environnement et Changement climatique Canada,1,1,1,0,0
2026-09-25,Fisheries and Oceans Canada,Pêches et Océans Canada,1,1,1,0,0
2026-09-25,Health Canada,Santé Canada,1,1,1,0,1
2026-09-25,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés, et Citoyenneté Canada",1,1,1,1,0
2026-09-25,Indigenous Services Canada,Services aux Autochtones Canada,1,1,1,0,0
2026-09-25,"Innovation, Science, Economic Development Canada","Innovation, Sciences et Développement économique Canada",1,1,1,0,0
2026-09-25,National Defence and the Canadian Armed Forces,Défense nationale et les Forces armées canadiennes,7,7,7,0,0
2026-09-25,National Film Board of Canada,Office national du film du Canada,1,1,1,0,0
2026-09-25,Natural Resources Canada,Ressources Naturelles Canada,1,1,1,1,0
2026-09-25,Public Health Agency of Canada,Agence de la santé publique du Canada,1,1,1,0,0
2026-09-25,Statistics Canada,Statistique Canada,1,1,1,0,0
2026-09-25,Veterans Affairs Canada,Anciens Combattants Canada,2,2,2,1,0
