Name,Nom,Publication date,Platforms,Short description,Courte description,Long description,Longue description,Published by,Publié par,Department,Ministère,Download links,Téléchargements,icon
"How Canadian are you, eh?",Dans quelle mesure êtes-vous Canadien?,2013/12/01,iOS; Android; Blackberry,"How much do you know about Canada? Test your knowledge with the official Immigration, Refugees and Citizenship Canada application aptly named ‘How Canadian are you, Eh?’","« Que savez-vous du Canada? » Testez vos connaissances à l'aide de l'application de Immigration, Réfugiés, et Citoyenneté Canada appelée « Dans quelle mesure êtes-vous Canadien ou Canadienne? »","How much do you know about Canada? Test your knowledge with the official Immigration, Refugees and Citizenship Canada application aptly named ‘How Canadian are you, Eh?’ Each time you take the quiz 20 random questions are pulled from a collection of over 120 Canadian themed, skill-testing questions. Take the quiz, share your results, and challenge friends and family to see if they can beat your score! The ‘How Canadian are you, Eh?’ app features integrated Facebook and Twitter share functionality as well as a detailed review system so that you can see which questions were answered correctly, and incorrectly. The real question is… How Canadian are you, Eh?","« Que savez-vous du Canada? » Testez vos connaissances à l'aide de l'application de Immigration, Réfugiés, et Citoyenneté Canada appelée « Dans quelle mesure êtes-vous Canadien ou Canadienne? ». Chaque fois que vous participez au jeu-questionnaire, 20 questions d'habiletés choisies au hasard parmi la série de plus de 120 questions sur le Canada vous sont posées. Participez, échangez vos résultats avec vos amis et les membres de votre famille et mettez-les au défi de battre votre score! Les applications du jeu-questionnaire « Dans quelle mesure êtes-vous Canadien ou Canadienne? » sont intégrées à Facebook et à Twitter, de même qu'à un système comprenant les détails de vos essais. Vous pouvez donc connaître les questions auxquelles vous avez répondu correctement et incorrectement. La vraie question est « Dans quelle mesure êtes-vous Canadien ou Canadienne? »","Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés, et Citoyenneté Canada","Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés, et Citoyenneté Canada",Download for iOS iPhone / iPod Touch (English): https://itunes.apple.com/ca/app/how-canadian-are-you-eh/id413663471?mt=8 | Download for Android SmartPhone (English): https://play.google.com/store/apps/details?id=com.prologinc.quizapp&hl=en | Download for Blackberry (English): http://appworld.blackberry.com/webstore/content/23998/?lang=en&countrycode=CA | Download for iOS iPhone / iPod Touch ( Français ): http://itunes.apple.com/ca/app/how-canadian-are-you-eh/id413663471?mt=8&l=fr | Download for Android SmartPhone ( Français ): https://play.google.com/store/apps/details?id=com.prologinc.quizapp&hl=fr | Download for Blackberry ( Français ): http://appworld.blackberry.com/webstore/content/23998/?lang=fr&countrycode=CA,Télécharger pour iOS iPhone / iPod Touch (Français): http://itunes.apple.com/ca/app/how-canadian-are-you-eh/id413663471?mt=8&l=fr | Télécharger pour Android SmartPhone (Français): https://play.google.com/store/apps/details?id=com.prologinc.quizapp&hl=fr | Télécharger pour Blackberry (Français): http://appworld.blackberry.com/webstore/content/23998/?lang=fr&countrycode=CA | Télécharger pour iOS iPhone / iPod Touch ( English ): https://itunes.apple.com/ca/app/how-canadian-are-you-eh/id413663471?mt=8 | Télécharger pour Android SmartPhone ( English ): https://play.google.com/store/apps/details?id=com.prologinc.quizapp&hl=en | Télécharger pour Blackberry ( English ): http://appworld.blackberry.com/webstore/content/23998/?lang=en&countrycode=CA,icons/e65dc8882866395369ab.png
NFB Films,Films de l’ONF,2013/12/01,iOS; Android,"Watch over 6,000 documentaries, animations and feature films for free.","Visionnez plus de 6 000 documentaires, animations et longs métrages gratuitement.","With the NFB Films app, you can watch over 6000 movies – documentaries, animations and trailers. FEATURES: WATCH over 6000 NFB movies on your mobile device Pre-load films to WATCH LATER. Store films for up to 48 hours for off-line viewing SEARCH the NFB collection. CHANNELS – Browse films by channel/subject. Kids' channel with fun and educational content for children SHARE – share your discoveries with your friends by email, on Twitter or Facebook.","Avec l’application Films de l’ONF, vous avez accès gratuitement à plus de 6 000 documentaires, animations et fictions. CARACTÉRISTIQUES : VISIONNEZ plus de 6 000 films sur votre appareil mobile. VISIONNEZ PLUS TARD – Préchargez des films pour les visionner plus tard. Sauvegardez des films jusqu’à 48 heures pour les visionner hors-ligne. RECHERCHEZ dans l’ensemble de notre collection. CHAÎNES – Découvrez des nouveaux films à travers nos chaines et catégories. Sélection amusante et éducative pour enfants. PARTAGEZ vos découvertes avec vos amis sur Twitter, Facebook ou par courriel.",National Film Board of Canada,Office national du film du Canada,National Film Board of Canada,Office national du film du Canada,Download for iOS iPhone / iPod Touch (English): https://itunes.apple.com/ca/app/nfb-films/id329353638?mt=8 | Download for iOS iPad (English): https://itunes.apple.com/ca/app/nfb-films-for-ipad/id378813687?mt=8 | Download for Android SmartPhone (English): https://play.google.com/store/apps/details?id=com.nitobi.nfb&hl=en | Download for iOS iPhone / iPod Touch ( Français ): https://itunes.apple.com/fr/app/id329353638?mt=8 | Download for iOS iPad ( Français ): https://itunes.apple.com/fr/app/films-de-lonf-pour-le-ipad/id378813687?mt=8 | Download for Android SmartPhone ( Français ): https://play.google.com/store/apps/details?id=com.nitobi.nfb&hl=fr,Télécharger pour iOS iPhone / iPod Touch (Français): https://itunes.apple.com/fr/app/id329353638?mt=8 | Télécharger pour iOS iPad (Français): https://itunes.apple.com/fr/app/films-de-lonf-pour-le-ipad/id378813687?mt=8 | Télécharger pour Android SmartPhone (Français): https://play.google.com/store/apps/details?id=com.nitobi.nfb&hl=fr | Télécharger pour iOS iPhone / iPod Touch ( English ): https://itunes.apple.com/ca/app/nfb-films/id329353638?mt=8 | Télécharger pour iOS iPad ( English ): https://itunes.apple.com/ca/app/nfb-films-for-ipad/id378813687?mt=8 | Télécharger pour Android SmartPhone ( English ): https://play.google.com/store/apps/details?id=com.nitobi.nfb&hl=en,icons/a3a8b5843ee7c3c19510.png
PTSD Coach Canada,Coach ESPT Canada,2013/12/01,iOS; Android,PTSD Coach Canada can help you learn about and manage symptoms that can occur after trauma.,L'application Coach ESPT Canada peut vous aider à mieux connaître et à gérer les symptômes qui peuvent survenir après avoir vécu un traumatisme.,"The PTSD Coach Canada app can help you learn about and manage symptoms that can occur after trauma. Features include: Reliable information on PTSD and treatments that work Tools for screening and tracking your symptom Convenient, easy-to-use tools to help you handle stress symptoms Direct links to support and help Always with you when you need it",L'application Coach ESPT Canada peut vous aider à mieux connaître et à gérer les symptômes qui peuvent survenir après avoir vécu un traumatisme. Voici certaines caractéristiques : Renseignements fiables sur l'ESPT et les traitements qui fonctionnent. Outils pour le dépistage et le suivi de vos symptômes. Outils conviviaux et faciles à utiliser qui vous aident à gérer vos symptômes de stress. Liens directs où vous pouvez trouver du soutien et de l'aide. Toujours avec vous lorsque vous en avez besoin.,Veterans Affairs Canada,Anciens Combattants Canada,Veterans Affairs Canada,Anciens Combattants Canada,Download for iOS iPhone / iPod Touch (English): https://itunes.apple.com/us/app/ptsd-coach-canada/id616851357?ls=1&mt=8 | Download for Android SmartPhone (English): https://play.google.com/store/apps/details?id=ca.gc.veterans.ptsd.ptsdcoach&feature=search_result&hl=en | Download for iOS iPhone / iPod Touch ( Français ): https://itunes.apple.com/fr/app/ptsd-coach-canada/id616851357?ls=1&mt=8 | Download for Android SmartPhone ( Français ): https://play.google.com/store/apps/details?id=ca.gc.veterans.ptsd.ptsdcoach&feature=search_result&hl=fr,Télécharger pour iOS iPhone / iPod Touch (Français): https://itunes.apple.com/fr/app/ptsd-coach-canada/id616851357?ls=1&mt=8 | Télécharger pour Android SmartPhone (Français): https://play.google.com/store/apps/details?id=ca.gc.veterans.ptsd.ptsdcoach&feature=search_result&hl=fr | Télécharger pour iOS iPhone / iPod Touch ( English ): https://itunes.apple.com/us/app/ptsd-coach-canada/id616851357?ls=1&mt=8 | Télécharger pour Android SmartPhone ( English ): https://play.google.com/store/apps/details?id=ca.gc.veterans.ptsd.ptsdcoach&feature=search_result&hl=en,icons/22311af7aa40f8db1181.png
OSI Connect,Connexion TSO,2013/12/01,iOS; Android; Blackberry,OSI Connect is a free mental health learning and self-management mobile app developed to help OSI patients and their families understand the nature of operational stress injuries (OSIs).,Connexion TSO est une application mobile gratuite d'autogestion et d'apprentissage en santé mentale conçue pour aider les personnes atteintes de traumatismes liés au stress opérationnel (TSO) et leurs familles à comprendre la nature des TSO.,"OSI Connect is a free mental health learning and self-management mobile app developed to help OSI patients and their families understand the nature of operational stress injuries (OSIs) and to provide help through the OSI Clinic Network across Canada. The resources on OSI Connect address challenges including post-traumatic stress and triggers, depression, anger, sleep problems, substance abuse, stress management and more. Developed by the Royal Ottawa OSI Clinic with the support of Veterans Affairs Canada, this app is compatible with iPhone, iPad, iPod, BlackBerry and Android devices. OSI Connect is a regularly updated, information rich, interactive mobile application. There are assessments, videos and clear information for Veterans and others with an OSI, including how to get an OSI clinic appointment.","Connexion TSO est une application mobile gratuite d'autogestion et d'apprentissage en santé mentale conçue pour aider les personnes atteintes de traumatismes liés au stress opérationnel (TSO) et leurs familles à comprendre la nature des TSO ainsi que pour leur fournir un soutien par l'entremise du réseau de cliniques TSO au Canada. Connexion TSO offre des ressources pour aider à surmonter les défis qui ont trait au stress post-traumatique et aux facteurs déclencheurs, à la dépression, à la colère, aux troubles du sommeil, à l'abus de substances, à la gestion du stress, et plus encore. L'application Connexion TSO, qui a été élaborée par la clinique TSO Royal Ottawa – avec l'appui d'Anciens Combattants Canada – pour les appareils iPhone, iPad, iPod, BlackBerry et Android, est mise à jour régulièrement, riche en renseignements et interactive. Elle comprend des évaluations, des vidéos et des renseignements clairs pour les vétérans et les autres personnes atteintes de TSO, notamment sur la façon d'obtenir un rendez-vous à une clinique TSO.",Veterans Affairs Canada,Anciens Combattants Canada,Veterans Affairs Canada,Anciens Combattants Canada,Download for iOS iPhone / iPod Touch (English): https://itunes.apple.com/app/osi-connect-osi-clinic-network/id638446154?ls=1&mt=8 | Download for Android SmartPhone (English): https://play.google.com/store/apps/details?id=com.purpleforge.osiconnect&feature=search_result&hl=en | Download for Blackberry (English): http://appworld.blackberry.com/webstore/content/28025378/ | Download for iOS iPhone / iPod Touch ( Français ): https://itunes.apple.com/fr/app/osi-connect-osi-clinic-network/id638446154?ls=1&mt=8 | Download for Android SmartPhone ( Français ): https://play.google.com/store/apps/details?id=com.purpleforge.osiconnect&feature=search_result&hl=fr | Download for Blackberry ( Français ): http://appworld.blackberry.com/webstore/content/28025378/?lang=fr,Télécharger pour iOS iPhone / iPod Touch (Français): https://itunes.apple.com/fr/app/osi-connect-osi-clinic-network/id638446154?ls=1&mt=8 | Télécharger pour Android SmartPhone (Français): https://play.google.com/store/apps/details?id=com.purpleforge.osiconnect&feature=search_result&hl=fr | Télécharger pour Blackberry (Français): http://appworld.blackberry.com/webstore/content/28025378/?lang=fr | Télécharger pour iOS iPhone / iPod Touch ( English ): https://itunes.apple.com/app/osi-connect-osi-clinic-network/id638446154?ls=1&mt=8 | Télécharger pour Android SmartPhone ( English ): https://play.google.com/store/apps/details?id=com.purpleforge.osiconnect&feature=search_result&hl=en | Télécharger pour Blackberry ( English ): http://appworld.blackberry.com/webstore/content/28025378/,icons/8245d9ad1ec6571b305e.png
Canadian Guidelines on Sexually Transmitted Infections,Lignes directrices canadiennes sur les infections transmissibles sexuellement,2015/04/24,iOS; Android,"If you are a health professional, you will want to download our new Canadian Guidelines on Sexually Transmitted Infections mobile app.","Si vous êtes un professionnel de la santé, vous pourrez télécharger notre nouvelle application mobile comprenant les Lignes directrices canadiennes sur les infections transmissibles sexuellement.","This easy-to-use app was created using key Public Health Agency of Canada resources, including: Canadian Guidelines on Sexually Transmitted Infections HIV Screening and Testing Guide Primary Care Management of Hepatitis B – Quick Reference The app contains recommendations for the management of antibiotic resistant gonorrhea. The app is intended to be used by health professionals. For general information on STIs, visit our website .","Cette application facile à utiliser a été créée en utilisant des ressources clés de l'Agence de la santé publique du Canada, incluant : Lignes directrices canadiennes sur les infections transmissibles sexuellement Guide pour le dépistage et le diagnostic de l'infection par le VIH Soins primaires de l'hépatite B - Aide-mémoire Cette application contient des recommandations visant la gestion de la gonorrhée antibio-résistante. Cette application devrait être utilisée par des professionnels de la santé. Pour trouverez des renseignements généraux sur les ITS en consultant notre site Web .",Public Health Agency of Canada,Agence de la santé publique du Canada,Public Health Agency of Canada,Agence de la santé publique du Canada,Download for iOS iPad (English): https://itunes.apple.com/ca/app/canadian-guidelines-on-sexually/id958263397?mt=8 | Download for Android SmartPhone (English): https://play.google.com/store/apps/details?id=ca.gc.hcsc.sti | Download for iOS iPad ( Français ): https://itunes.apple.com/ca/app/lignes-directrices-canadiennes/id958263397?l=fr&mt=8 | Download for Android SmartPhone ( Français ): https://play.google.com/store/apps/details?id=ca.gc.hcsc.sti&hl=fr,Télécharger pour iOS iPad (Français): https://itunes.apple.com/ca/app/lignes-directrices-canadiennes/id958263397?l=fr&mt=8 | Télécharger pour Android Tablet (Français): https://play.google.com/store/apps/details?id=ca.gc.hcsc.sti&hl=fr | Télécharger pour iOS iPad ( English ): https://itunes.apple.com/ca/app/canadian-guidelines-on-sexually/id958263397?mt=8 | Télécharger pour Android Tablet ( English ): https://play.google.com/store/apps/details?id=ca.gc.hcsc.sti,icons/360270fc47f6a4bd35de.png
Pesticide Labels,Étiquettes de pesticides,2016/01/27,iOS; Android; Amazon,Mobile version of PMRA's Label Search. Search and download registered pesticide labels.,Version mobile du moteur de recherche des étiquettes de l’ARLA. Chercher et télécharger les étiquettes des pesticides homologués.,"This app allows users to search for labels registered for use in Canada by Health Canada's Pest Management Regulatory Agency (PMRA). Users can search by: Product Name Active Ingredient Registrant Name Full Label Contents The results will provide details about the product, along with a PDF version of the label. Users can save their searches, as well as download the labels as 'Favourites' for offline access.","Cette application permet aux usagers de faire une recherche dans les étiquettes homologuées à des fins d’utilisation au Canada par l’ARLA de Santé Canada. Les usagers peuvent faire une recherche par : Nom du produit Matière active Nom du titulaire Contenus complets de l’étiquette Les résultats fourniront des détails au sujet du produit, de même qu’une version PDF de l’étiquette. Les usagers peuvent sauvegarder les résultats de leurs recherches ainsi que télécharger les étiquettes en tant que « Favoris » à des fins de consultation hors ligne.",Health Canada,Santé Canada,Health Canada,Santé Canada,Download for iOS iPhone / iPod Touch (English): https://itunes.apple.com/ca/app/pesticide-labels/id1063815307?mt=8 | Download for Android SmartPhone (English): https://play.google.com/store/apps/details?id=ca.gc.hcsc.pmra&hl=en | Download for Android SmartPhone (Amazon) (English): http://www.amazon.ca/Pesticide-Labels-%C3%89tiquettes-de-pesticides/dp/B01AKDK7WW/ | Download for iOS iPhone / iPod Touch ( Français ): https://itunes.apple.com/ca/app/pesticide-labels/id1063815307?mt=8&l=fr | Download for Android SmartPhone ( Français ): https://play.google.com/store/apps/details?id=ca.gc.hcsc.pmra&hl=fr | Download for Android SmartPhone (Amazon) ( Français ): http://www.amazon.fr/Pesticide-Labels-%C3%89tiquettes-de-pesticides/dp/B01AKDK7WW/,Télécharger pour iOS iPhone / iPod Touch (Français): https://itunes.apple.com/ca/app/pesticide-labels/id1063815307?mt=8&l=fr | Télécharger pour Android SmartPhone (Français): https://play.google.com/store/apps/details?id=ca.gc.hcsc.pmra&hl=fr | Télécharger pour Android SmartPhone (Amazon) (Français): http://www.amazon.fr/Pesticide-Labels-%C3%89tiquettes-de-pesticides/dp/B01AKDK7WW/ | Télécharger pour iOS iPhone / iPod Touch ( English ): https://itunes.apple.com/ca/app/pesticide-labels/id1063815307?mt=8 | Télécharger pour Android SmartPhone ( English ): https://play.google.com/store/apps/details?id=ca.gc.hcsc.pmra&hl=en | Télécharger pour Android SmartPhone (Amazon) ( English ): http://www.amazon.ca/Pesticide-Labels-%C3%89tiquettes-de-pesticides/dp/B01AKDK7WW/,icons/7536a28830bbc42145a6.png
CBSA CanBorder,FrontièreCan de l' ASFC,2016/05/19,iOS; Android; Amazon; Blackberry,"The CanBorder app provides estimated wait times at select ports of entry in Canada and the United States. In addition to current wait times listed by port, you’ll also find forecasted wait times, based on historical data, trends and patterns.","L’application Frontièrecan vous offre les temps d’attente prévus aux principaux points d’entrée au Canada et aux États-Unis. En plus des temps d’attente actuels aux points d’entrée, vous pouvez consulter les prévisions des temps d’attente fondées sur les données et les tendances historiques.","Having land border wait times at your fingertips helps you make an informed decision about where and when to cross the border. The CanBorder app provides estimated wait times at select ports of entry in Canada and the United States. In addition to current wait times listed by port, you’ll also find forecasted wait times, based on historical data, trends and patterns. Short on time? Use the trip planner function to generate an estimated best day, time and port of entry at which to cross the border, along with turn by turn directions to get you there. The CanBorder app is a free service provided by the Canada Border Services Agency.","Avec les temps d’attente à la frontière terrestre à portée de la main, vous pouvez décider de façon éclairée où et quand passer la frontière. L’application Frontièrecan vous offre les temps d’attente prévus aux principaux points d’entrée au Canada et aux États-Unis. En plus des temps d’attente actuels aux points d’entrée, vous pouvez consulter les prévisions des temps d’attente fondées sur les données et les tendances historiques. Le temps presse? Utilisez le planificateur de voyage pour obtenir une estimation de l’itinéraire idéal, y compris la date, l’heure et le point d’entrée où passer la frontière, ainsi que des directives détaillées pour vous y rendre. L’application Frontièrecan est un service gratuit offert par l’Agence des services frontaliers du Canada.",Canada Border Services Agency,Agence des services frontaliers du Canada,Canada Border Services Agency,Agence des services frontaliers du Canada,Download for iOS iPhone / iPod Touch (English): https://geo.itunes.apple.com/ca/app/cbsa-canborder/id1110491634?mt=8 | Download for iOS iPad (English): https://geo.itunes.apple.com/ca/app/cbsa-canborder/id1110491634?mt=8 | Download for Android SmartPhone (English): https://play.google.com/store/apps/details?id=ca.gc.cbsa.canborder.bwt&hl=en | Download for Android SmartPhone (Amazon) (English): https://www.amazon.ca/Canada-Border-Services-Agency-CanBorder/dp/B01FIB3L10/ref=sr_marpr_1?s=mobile-apps&ie=UTF8&qid=1463544977&sr=1-1&keywords=canborder | Download for Blackberry (English): http://appworld.blackberry.com/webstore/content/59994024 | Download for iOS iPhone / iPod Touch ( Français ): https://itunes.apple.com/ca/app/cbsa-canborder/id1110491634?mt=8&l=fr | Download for iOS iPad ( Français ): https://itunes.apple.com/ca/app/cbsa-canborder/id1110491634?mt=8&l=fr | Download for Android SmartPhone ( Français ): https://play.google.com/store/apps/details?id=ca.gc.cbsa.canborder.bwt&hl=fr | Download for Android SmartPhone (Amazon) ( Français ): https://www.amazon.ca/Canada-Border-Services-Agency-CanBorder/dp/B01FIB3L10/ref=sr_marpr_1?s=mobile-apps&ie=UTF8&qid=1463544977&sr=1-1&keywords=canborder&language=fr_CA | Download for Blackberry ( Français ): https://appworld.blackberry.com/webstore/content/59994024/?countrycode=CA&lang=fr,Télécharger pour iOS iPhone / iPod Touch (Français): https://itunes.apple.com/ca/app/cbsa-canborder/id1110491634?mt=8&l=fr | Télécharger pour iOS iPad (Français): https://itunes.apple.com/ca/app/cbsa-canborder/id1110491634?mt=8&l=fr | Télécharger pour Android SmartPhone (Français): https://play.google.com/store/apps/details?id=ca.gc.cbsa.canborder.bwt&hl=fr | Télécharger pour Android SmartPhone (Amazon) (Français): https://www.amazon.ca/Canada-Border-Services-Agency-CanBorder/dp/B01FIB3L10/ref=sr_marpr_1?s=mobile-apps&ie=UTF8&qid=1463544977&sr=1-1&keywords=canborder&language=fr_CA | Télécharger pour Blackberry (Français): https://appworld.blackberry.com/webstore/content/59994024/?countrycode=CA&lang=fr | Télécharger pour iOS iPhone / iPod Touch ( English ): https://geo.itunes.apple.com/ca/app/cbsa-canborder/id1110491634?mt=8 | Télécharger pour iOS iPad ( English ): https://geo.itunes.apple.com/ca/app/cbsa-canborder/id1110491634?mt=8 | Télécharger pour Android SmartPhone ( English ): https://play.google.com/store/apps/details?id=ca.gc.cbsa.canborder.bwt&hl=en | Télécharger pour Android SmartPhone (Amazon) ( English ): https://www.amazon.ca/Canada-Border-Services-Agency-CanBorder/dp/B01FIB3L10/ref=sr_marpr_1?s=mobile-apps&ie=UTF8&qid=1463544977&sr=1-1&keywords=canborder | Télécharger pour Blackberry ( English ): http://appworld.blackberry.com/webstore/content/59994024,icons/621a9e5fb62e78f5a8f8.png
My Tree,Mon Arbre,2016/09/23,iOS; Android; Blackberry,My Tree provides a list of selected trees of Canada and their hardiness zones to allow Canadians to choose a suitable tree for their environment.,"Mon Arbre contient une sélection d’arbres du Canada et de leurs zones de rusticité, en vue de permettre à la population canadienne de choisir l’arbre qui convient à son environnement.","My Tree provides a list of selected trees of Canada and their hardiness zones to allow Canadians to choose a suitable tree for their environment. This application allows users to identify their Canadian hardiness zone using their mobile device’s GPS or manually via a touch screen and determine which native and introduced trees are adapted to the climate in their location and other hardiness zones within Canada. Users can access photos, illustrations, and basic information on each tree profiled in the application. Version 1.5 includes an additional 92 introduced species, giving Canadians a larger selection of trees to plant. There are also more colour photos and new filter options to help users find their ideal trees.","Mon Arbre contient une sélection d’arbres du Canada et de leurs zones de rusticité, en vue de permettre à la population canadienne de choisir l’arbre qui convient à son environnement. Cette application permet aux utilisateurs d'identifier leur zone de rusticité canadienne en utilisant le GPS de leur appareil mobile ou manuellement au moyen d’un écran tactile et de déterminer quels arbres sont adaptés au climat dans leur emplacement et d'autres zones de rusticité au Canada. Les utilisateurs peuvent accéder à des photos, des illustrations et des informations de base sur chaque arbre profilé dans l'application. La version 1.5 comprend 92 espèces exotiques supplémentaires, ce qui offre aux Canadiens une plus large sélection d’arbres qu’ils pourraient planter. Il y a également plus de photos en couleur et de nouvelles options de filtre afin d’aider les utilisateurs à trouver les arbres idéaux.",Natural Resources Canada,Ressources Naturelles Canada,Natural Resources Canada,Ressources Naturelles Canada,Download for iOS iPhone / iPod Touch (English): https://itunes.apple.com/ca/app/my-tree/id1153592945?l=en&mt=8 | Download for iOS iPad (English): https://itunes.apple.com/ca/app/my-tree/id1153592945?l=en&mt=8 | Download for Android SmartPhone (English): https://play.google.com/store/apps/details?id=ca.gc.nrcan.mytree&hl=en | Download for Blackberry (English): https://appworld.blackberry.com/webstore/content/59998824/?lang=en&countrycode=CA | Download for iOS iPhone / iPod Touch ( Français ): https://itunes.apple.com/ca/app/mon-arbre/id1153411718?l=fr&mt=8 | Download for iOS iPad ( Français ): https://itunes.apple.com/ca/app/mon-arbre/id1153411718?l=fr&mt=8 | Download for Android SmartPhone ( Français ): https://play.google.com/store/apps/details?id=ca.gc.nrcan.mytree&hl=fr | Download for Blackberry ( Français ): https://appworld.blackberry.com/webstore/content/59998824/?lang=fr&countrycode=CA,Télécharger pour iOS iPhone / iPod Touch (Français): https://itunes.apple.com/ca/app/mon-arbre/id1153411718?l=fr&mt=8 | Télécharger pour iOS iPad (Français): https://itunes.apple.com/ca/app/mon-arbre/id1153411718?l=fr&mt=8 | Télécharger pour Android SmartPhone (Français): https://play.google.com/store/apps/details?id=ca.gc.nrcan.mytree&hl=fr | Télécharger pour Blackberry (Français): https://appworld.blackberry.com/webstore/content/59998824/?lang=fr&countrycode=CA | Télécharger pour iOS iPhone / iPod Touch ( English ): https://itunes.apple.com/ca/app/my-tree/id1153592945?l=en&mt=8 | Télécharger pour iOS iPad ( English ): https://itunes.apple.com/ca/app/my-tree/id1153592945?l=en&mt=8 | Télécharger pour Android SmartPhone ( English ): https://play.google.com/store/apps/details?id=ca.gc.nrcan.mytree&hl=en | Télécharger pour Blackberry ( English ): https://appworld.blackberry.com/webstore/content/59998824/?lang=en&countrycode=CA,icons/fe6732bb7bac085cc3a0.png
Canadian Armed Forces App,L'application mobile des Forces armées canadiennes,2017/08/29,iOS; Android,"The CAF App now offers in-app browser support for links in the 'Resources' and 'Home' tabs. Additionally, a new offline feature allows you to access your loaded CANFORGENS and messages without an internet connection.","L’appli des FAC renferme désormais un navigateur intégré pour accéder aux liens dans les sections « Ressources » et « Accueil ». De plus, une nouvelle fonctionnalité hors ligne vous permet d’accéder aux CANFORGEN et aux messages téléchargés sans avoir besoin d’une connexion Internet.","The CAF App allows you to view and share the latest CANFORGENS and updates from CAF leadership. It keeps military and civilian employees up to date with the latest news, orders and directives and allows you to access a variety of CAF resources, including Defence Ethics, Conduct and Culture change, health, pay and pension services.","L’appli des FAC vous permet aussi de consulter et de transmettre les CANFORGEN les plus récents et les mises à jour de la direction des FAC. Grâce à elle, les militaires et les employés civils peuvent se tenir au fait des nouvelles, des ordres et des directives, tout en ayant accès à une gamme de ressources des FAC portant notamment sur l’éthique de la Défense, la conduite et le changement de culture, la santé, ainsi que les services de rémunération et de pension.",National Defence and the Canadian Armed Forces,Défense nationale et les Forces armées canadiennes,National Defence and the Canadian Armed Forces,Défense nationale et les Forces armées canadiennes,Download for iOS (English): https://apps.apple.com/ca/app/canadian-forces/id1125442156 | Download for Android (English): https://play.google.com/store/apps/details?id=ca.forces.dnd.caf | Download for iOS ( Français ): https://apps.apple.com/ca/app/forces-canadiennes/id1125442156?l=fr-CA | Download for Android ( Français ): https://play.google.com/store/apps/details?id=ca.forces.dnd.caf&hl=fr,Télécharger pour iOS (Français): https://apps.apple.com/ca/app/forces-canadiennes/id1125442156?l=fr-CA | Télécharger pour Android (Français): https://play.google.com/store/apps/details?id=ca.forces.dnd.caf&hl=fr | Télécharger pour iOS ( English ): https://apps.apple.com/ca/app/canadian-forces/id1125442156 | Télécharger pour Android ( English ): https://play.google.com/store/apps/details?id=ca.forces.dnd.caf,icons/b5fed1ee1ef4b26f6722.png
Respect in the CAF,Respect dans les Forces armées canadiennes,2017/08/29,iOS; Android,"The Respect in the Canadian Armed Forces app provides support and guidance to victims of sexual misconduct, bystanders, and those in a position of leadership.","L’application Respect dans les Forces armées canadiennes offre du soutien et des conseils aux victimes d’inconduite sexuelle, aux témoins et aux personnes qui occupent un poste de dirigeant.","The Respect in the Canadian Armed Forces app provides support and guidance to victims of sexual misconduct, bystanders, and those in a position of leadership. The app is available for free on Android, iOS and Blackberry app stores. Users will find step by step information on how to support a victim of sexual misconduct and ensure their safety. The app can also offer the location of and directions to the closest military and civilian resources by using your mobile’s location, while still protecting your privacy and confidentiality.","L’application Respect dans les Forces armées canadiennes offre du soutien et des conseils aux victimes d’inconduite sexuelle, aux témoins et aux personnes qui occupent un poste de dirigeant. L’application est offerte gratuitement dans les boutiques d’applications Android, iOS et BlackBerry. Les utilisateurs trouveront des renseignements détaillés, étape par étape, sur la façon d’aider une victime d’inconduite sexuelle et de veiller à sa sécurité. L’application peut aussi fournir l’emplacement des ressources militaires et civiles les plus près et la direction à prendre pour vous y rendre à l’aide de la position de votre portable, tout en protégeant votre vie privée et la confidentialité.",National Defence and the Canadian Armed Forces,Défense nationale et les Forces armées canadiennes,National Defence and the Canadian Armed Forces,Défense nationale et les Forces armées canadiennes,Download for iOS (English): https://itunes.apple.com/ca/app/respect-in-the-caf/id1249418271?mt=8 | Download for Android (English): https://play.google.com/store/apps/details?id=ca.gc.forces.ritcaf | Download for iOS ( Français ): https://itunes.apple.com/ca/app/respect-in-the-caf/id1249418271?l=fr | Download for Android ( Français ): https://play.google.com/store/apps/details?id=ca.gc.forces.ritcaf&hl=fr,Télécharger pour iOS (Français): https://itunes.apple.com/ca/app/respect-in-the-caf/id1249418271?l=fr | Télécharger pour Android (Français): https://play.google.com/store/apps/details?id=ca.gc.forces.ritcaf&hl=fr | Télécharger pour iOS ( English ): https://itunes.apple.com/ca/app/respect-in-the-caf/id1249418271?mt=8 | Télécharger pour Android ( English ): https://play.google.com/store/apps/details?id=ca.gc.forces.ritcaf,icons/87b73680daf0a97d3434.png
