Platform,Count,Date,Language
X,730,2024-10-24,
Facebook,676,2024-10-24,
YouTube,146,2024-10-24,
Instagram,124,2024-10-24,
LinkedIn,114,2024-10-24,
Flickr,22,2024-10-24,
Youtube,6,2024-10-24,
x,2,2024-10-24,
snapchat,1,2024-10-24,
Linkedin,1,2024-10-24,
Intagram,1,2024-10-24,
Snapchat,1,2024-10-24,
Facebook,37,2024-10-24,Bilingual
Facebook,2,2024-10-24,Bilingue
Facebook,323,2024-10-24,English
Facebook,314,2024-10-24,Français
Flickr,12,2024-10-24,Bilingual
Flickr,1,2024-10-24,Bilingue
Flickr,5,2024-10-24,English
Flickr,4,2024-10-24,Français
Instagram,21,2024-10-24,Bilingual
Instagram,1,2024-10-24,Bilingue
Instagram,51,2024-10-24,English
Instagram,51,2024-10-24,Français
Intagram,1,2024-10-24,English
LinkedIn,89,2024-10-24,Bilingual
LinkedIn,3,2024-10-24,Bilingue
LinkedIn,11,2024-10-24,English
LinkedIn,11,2024-10-24,Français
Linkedin,1,2024-10-24,Bilingual
Snapchat,1,2024-10-24,Français
X,27,2024-10-24,Bilingual
X,2,2024-10-24,Bilingue
X,349,2024-10-24,English
X,352,2024-10-24,Français
YouTube,23,2024-10-24,Bilingual
YouTube,3,2024-10-24,Bilingue
YouTube,62,2024-10-24,English
YouTube,58,2024-10-24,Français
Youtube,2,2024-10-24,Bilingual
Youtube,2,2024-10-24,English
Youtube,2,2024-10-24,Français
snapchat,1,2024-10-24,English
x,1,2024-10-24,English
x,1,2024-10-24,Français
Facebook,37,2024-10-25,Bilingual
Facebook,2,2024-10-25,Bilingue
Facebook,323,2024-10-25,English
Facebook,314,2024-10-25,Français
Flickr,12,2024-10-25,Bilingual
Flickr,1,2024-10-25,Bilingue
Flickr,5,2024-10-25,English
Flickr,4,2024-10-25,Français
Instagram,21,2024-10-25,Bilingual
Instagram,1,2024-10-25,Bilingue
Instagram,51,2024-10-25,English
Instagram,51,2024-10-25,Français
Intagram,1,2024-10-25,English
LinkedIn,89,2024-10-25,Bilingual
LinkedIn,3,2024-10-25,Bilingue
LinkedIn,11,2024-10-25,English
LinkedIn,11,2024-10-25,Français
Linkedin,1,2024-10-25,Bilingual
Snapchat,1,2024-10-25,Français
X,27,2024-10-25,Bilingual
X,2,2024-10-25,Bilingue
X,349,2024-10-25,English
X,352,2024-10-25,Français
YouTube,23,2024-10-25,Bilingual
YouTube,3,2024-10-25,Bilingue
YouTube,62,2024-10-25,English
YouTube,58,2024-10-25,Français
