Account,Platform,Department,Language,URL,gc_orgID,wikidata_id,Date Added
Premier ministre du Canada,Facebook,Bureau du Conseil privé,Français,https://www.facebook.com/PMCanadien,,,2026-01-16
PMcanadien,X,Bureau du Conseil privé,Français,https://twitter.com/PMcanadien,,,2026-01-16
Bureau du Conseil privé,LinkedIn,Bureau du Conseil privé,Bilingue,https://www.linkedin.com/company/privy-council-office/about/,,,2026-01-16
GCLaRéconciliation,Facebook,Relations Couronne-Autochtones et Affaires du Nord Canada et Services aux Autochtones Canada,Français,https://www.facebook.com/GCLaReconciliation,,,2026-01-16
@GCAutochtones,X,Relations Couronne-Autochtones et Affaires du Nord Canada et Services aux Autochtones Canada,Français,https://twitter.com/GCAutochtones,,,2026-01-16
@GouvCanNord,X,Relations Couronne-Autochtones et Affaires du Nord Canada et Services aux Autochtones Canada,Français,https://twitter.com/GouvCanNord,,,2026-01-16
GCAutochtones,Facebook,Relations Couronne-Autochtones et Affaires du Nord Canada et Services aux Autochtones Canada,Français,https://www.facebook.com/GCAutochtones/,,,2026-01-16
GouvCan - Nord,Facebook,Relations Couronne-Autochtones et Affaires du Nord Canada et Services aux Autochtones Canada,Français,https://www.facebook.com/GouvCanNord/,,,2026-01-16
@AAC_Canada,X,Agriculture et Agroalimentaire Canada,Français,https://twitter.com/AAC_Canada?lang=fr,,,2026-01-16
agriculture_can,Instagram,Agriculture et Agroalimentaire Canada,Français,https://www.instagram.com/agriculture_can/,,,2026-01-16
AgricultureCanadaFra,YouTube,Agriculture et Agroalimentaire Canada,Français,https://www.youtube.com/user/AgricultureCanadaFra,,,2026-01-16
@APECACanada,X,Agence de promotion économique du Canada atlantique,Français,https://twitter.com/APECACanada?lang=fr,,,2026-01-16
APECACanada,YouTube,Agence de promotion économique du Canada atlantique,Français,https://www.youtube.com/APECACanada,,,2026-01-16
@Frontierecan,X,Agence des services frontaliers du Canada,Français,https://twitter.com/Frontierecan?lang=fr,,,2026-01-16
Agence des services frontaliers du Canada,Facebook,Agence des services frontaliers du Canada,Français,https://facebook.com/Frontierecan,,,2026-01-16
Frontierecan,YouTube,Agence des services frontaliers du Canada,Français,https://youtube.com/Frontierecan,,,2026-01-16
@AgenceRevCan,X,Agence du Revenu du Canada,Français,https://twitter.com/AgenceRevCan?lang=fr,2303.0,,2026-01-16
Agence Revenu Canada,YouTube,Agence du Revenu du Canada,Français,https://youtube.com/user/AgenceRevCan,2303.0,,2026-01-16
Patrimoine canadien – Canadian Heritage,LinkedIn,Patrimoine canadien,Bilingue,https://www.linkedin.com/company/canadian-heritage-patrimoine-canadien/,,,2026-01-16
@SportCanada_Fr,X,Patrimoine canadien,Français,https://twitter.com/SportCanada_FR?lang=fr,,,2026-01-16
Patrimoine canadien,YouTube,Patrimoine canadien,Français,https://www.youtube.com/Patrimoinecdn,,,2026-01-16
Patrimoine canadien,Facebook,Patrimoine canadien,Français,https://www.facebook.com/Patrimoinecdn,,,2026-01-16
@OTC_gc,X,Office des transports du Canada,Français,https://twitter.com/OTC_gc?lang=fr,,,2026-01-16
@CitImmCanFR,X,"Immigration, Réfugiés, et Citoyenneté Canada",Français,https://twitter.com/CitImmCanFR,2224.0,,2026-01-16
Immigration et Citoyenneté Canadienne,Facebook,"Immigration, Réfugiés, et Citoyenneté Canada",Français,https://www.facebook.com/CitImmCanFR,2224.0,,2026-01-16
Citizenship and Immigration Canada / Citoyenneté et Immigration Canada,YouTube,"Immigration, Réfugiés, et Citoyenneté Canada",Bilingue,https://youtube.com/user/CitImmCanada,2224.0,,2026-01-16
@Burconcurrence,X,Bureau de la concurrence,Français,https://twitter.com/Burconcurrence?lang=fr,,,2026-01-16
Bureau de la concurrence Canada,Facebook,Bureau de la concurrence,Français,https://www.facebook.com/bureaudelaconcurrencecanada,,,2026-01-16
Bureau de la concurence Canada,YouTube,Bureau de la concurrence,Français,https://www.youtube.com/channel/UCuVVhVjBsIVrEqKXBx6HOaw,,,2026-01-16
Ministère de la Défense nationale,LinkedIn,Défense nationale et les Forces armées canadiennes,Bilingue,https://www.linkedin.com/company/department-of-national-defence/?originalSubdomain=ca,,,2026-01-16
Ministère de la Défense nationale,Facebook,Défense nationale et les Forces armées canadiennes,Français,https://www.facebook.com/DefensenationaleGC/,,,2026-01-16
Forcescanada,Instagram,Défense nationale et les Forces armées canadiennes,Français,https://www.instagram.com/ForcesCanada/,,,2026-01-16
Armee canadienne,X,Défense nationale et les Forces armées canadiennes,Français,https://twitter.com/Armeecanadienne,,,2026-01-16
Operations des FAC,Instagram,Défense nationale et les Forces armées canadiennes,Français,https://www.instagram.com/OperationsFAC/?hl=en,,,2026-01-16
fac_caf_ukraine,Instagram,Défense nationale et les Forces armées canadiennes,Bilingue,https://www.instagram.com/fac_caf_ukraine/?hl=en,,,2026-01-16
Armée canadienne,Facebook,Défense nationale et les Forces armées canadiennes,Français,https://www.facebook.com/ArmeeCanadienne,,,2026-01-16
